output_file,status,source_file,section
homelab-proxmox-overview-2026-08.webp,APPROVED,Screenshot 2026-08-18 131642.png,Proxmox
homelab-portainer-overview-2026-08.webp,APPROVED,Screenshot 2026-08-18 131432.png,Portainer
homelab-nextcloud-dashboard-2026-08.webp,APPROVED,Screenshot 2026-08-18 131252.png,Nextcloud
homelab-pihole-mobile-dashboard-2026-08.webp,APPROVED,WhatsApp Image 2026-08-18 at 1.30.45 PM.jpeg,Pi-hole
homelab-uptime-kuma-health-2026-08.webp,APPROVED,Screenshot 2026-08-18 122023.png,Uptime Kuma
homelab-architecture-2026-08.svg,APPROVED,Repository-authored privacy-safe diagram,Architecture
thesis-journey-portfolio-diagrams-2026-08.png,APPROVED,Thesis Journey - Planning Technical Build and Submission.png,Master's thesis
Screenshot 2026-08-18 130304.png,NOT_PUBLISHED,Pi-hole desktop subscribed-list view,Evidence review
Screenshot 2026-08-18 131117.png,NOT_PUBLISHED,Pi-hole desktop subscribed-list view,Evidence review
